seed,condition,brain_version,train_total,test_steps,post_eats,post_eats_rate,post_danger,mb_w_final,elapsed
1,CONTROL,V2,60000,8000,56,0.007,13,0.16670067608356476,1415.2181842327118
2,CONTROL,V2,60000,8000,63,0.007875,8,0.167893186211586,1420.281790971756
3,CONTROL,V2,60000,8000,57,0.007125,15,0.16553287208080292,1211.2352859973907
4,CONTROL,V2,60000,8000,52,0.0065,9,0.1643235683441162,1224.594898223877
5,CONTROL,V2,60000,8000,59,0.007375,6,0.16728132963180542,1232.610115289688
6,CONTROL,V2,60000,8000,78,0.00975,10,0.17325593531131744,1244.0014734268188
7,CONTROL,V2,60000,8000,72,0.009,15,0.16825427114963531,1189.2079401016235
8,CONTROL,V2,60000,8000,37,0.004625,36,0.1710420697927475,1205.176676750183
1,LESION_ALL_MB,V2,60000,8000,70,0.00875,16,0.0037028382066637278,945.1420018672943
2,LESION_ALL_MB,V2,60000,8000,70,0.00875,8,0.0038675586692988873,947.0489401817322
3,LESION_ALL_MB,V2,60000,8000,57,0.007125,4,0.003074862528592348,940.233380317688
4,LESION_ALL_MB,V2,60000,8000,52,0.0065,9,0.0027589104138314724,944.6306700706482
5,LESION_ALL_MB,V2,60000,8000,58,0.00725,2,0.003139834851026535,931.6550829410553
6,LESION_ALL_MB,V2,60000,8000,64,0.008,3,0.003511016024276614,950.9185955524445
7,LESION_ALL_MB,V2,60000,8000,58,0.00725,14,0.0032378914766013622,942.7609419822693
8,LESION_ALL_MB,V2,60000,8000,37,0.004625,36,0.0021251547150313854,947.3055639266968
1,LESION_MUSH_TO_LH,V2,60000,8000,56,0.007,13,0.16670067608356476,940.2180902957916
2,LESION_MUSH_TO_LH,V2,60000,8000,63,0.007875,8,0.167893186211586,946.9957590103149
3,LESION_MUSH_TO_LH,V2,60000,8000,57,0.007125,15,0.16553287208080292,930.6029489040375
4,LESION_MUSH_TO_LH,V2,60000,8000,52,0.0065,9,0.1643235683441162,944.6387088298798
5,LESION_MUSH_TO_LH,V2,60000,8000,59,0.007375,6,0.16728132963180542,934.2350432872772
6,LESION_MUSH_TO_LH,V2,60000,8000,78,0.00975,10,0.17325593531131744,949.2430367469788
7,LESION_MUSH_TO_LH,V2,60000,8000,72,0.009,15,0.16825427114963531,947.324239730835
8,LESION_MUSH_TO_LH,V2,60000,8000,37,0.004625,36,0.1710420697927475,946.0204675197601
1,LESION_MUSH_TO_MOTOR,V2,60000,8000,61,0.007625,11,0.004620590712875128,944.4063549041748
2,LESION_MUSH_TO_MOTOR,V2,60000,8000,58,0.00725,11,0.004583695903420448,946.3135461807251
3,LESION_MUSH_TO_MOTOR,V2,60000,8000,56,0.007,8,0.004210533574223518,936.2045323848724
4,LESION_MUSH_TO_MOTOR,V2,60000,8000,52,0.0065,14,0.0038773103151470423,946.513468503952
5,LESION_MUSH_TO_MOTOR,V2,60000,8000,52,0.0065,15,0.004033489152789116,933.2712996006012
6,LESION_MUSH_TO_MOTOR,V2,60000,8000,59,0.007375,7,0.004595168866217136,950.477306842804
7,LESION_MUSH_TO_MOTOR,V2,60000,8000,62,0.00775,8,0.004872399847954512,945.8917901515961
8,LESION_MUSH_TO_MOTOR,V2,60000,8000,37,0.004625,36,0.0029809752013534307,942.6150634288788
1,LESION_VIS_TO_MUSH,V2,60000,8000,59,0.007375,10,0.16617177426815033,1263.2170088291168
2,LESION_VIS_TO_MUSH,V2,60000,8000,61,0.007625,10,0.1671581119298935,1256.113263130188
3,LESION_VIS_TO_MUSH,V2,60000,8000,56,0.007,11,0.16487903892993927,1048.3139834403992
4,LESION_VIS_TO_MUSH,V2,60000,8000,49,0.006125,3,0.1635933369398117,1057.9942355155945
5,LESION_VIS_TO_MUSH,V2,60000,8000,48,0.006,3,0.16619466245174408,936.0991203784943
6,LESION_VIS_TO_MUSH,V2,60000,8000,57,0.007125,7,0.1716669797897339,948.1648581027985
7,LESION_VIS_TO_MUSH,V2,60000,8000,67,0.008375,8,0.16719606518745422,942.507082939148
8,LESION_VIS_TO_MUSH,V2,60000,8000,48,0.006,22,0.17110005021095276,945.2483422756195
1,NAIVE_LESION,V2,0,8000,66,0.00825,323,0.04558854550123215,104.31142020225525
2,NAIVE_LESION,V2,0,8000,54,0.00675,260,0.04533126577734947,104.51684498786926
3,NAIVE_LESION,V2,0,8000,41,0.005125,368,0.045384835451841354,103.90417194366455
4,NAIVE_LESION,V2,0,8000,69,0.008625,335,0.045414477586746216,105.359445810318
5,NAIVE_LESION,V2,0,8000,56,0.007,435,0.04526075720787048,103.82186722755432
6,NAIVE_LESION,V2,0,8000,59,0.007375,313,0.04531152546405792,104.87397003173828
7,NAIVE_LESION,V2,0,8000,38,0.00475,228,0.04530884698033333,104.27538633346558
8,NAIVE_LESION,V2,0,8000,57,0.007125,269,0.045563578605651855,102.41985201835632
