seed,condition,train_steps,test_steps,post_eats,post_eat_rate,post_danger,mb_w_after_train,mb_w_final,elapsed
1,FULL,30000,8000,379,0.047375,47,0.08844933658838272,0.1077892929315567,765.9000959396362
2,FULL,30000,8000,398,0.04975,52,0.08739148080348969,0.10714010894298553,768.4886889457703
3,FULL,30000,8000,380,0.0475,30,0.08478143066167831,0.10293375700712204,974.8345322608948
4,FULL,30000,8000,380,0.0475,66,0.08457425236701965,0.10315831750631332,977.5767397880554
5,FULL,30000,8000,417,0.052125,27,0.08545538038015366,0.10581335425376892,963.7705132961273
6,FULL,30000,8000,409,0.051125,33,0.08650949597358704,0.1070089116692543,965.9544203281403
7,FULL,30000,8000,396,0.0495,18,0.0888032615184784,0.10859110206365585,715.5459575653076
8,FULL,30000,8000,399,0.049875,15,0.08865348249673843,0.1087646633386612,712.3985679149628
9,FULL,30000,8000,423,0.052875,47,0.08820023387670517,0.10929518193006516,713.8328552246094
10,FULL,30000,8000,405,0.050625,34,0.0895334929227829,0.11003555357456207,715.6499819755554
11,FULL,30000,8000,377,0.047125,16,0.08944182842969894,0.10846682637929916,796.386207818985
12,FULL,30000,8000,393,0.049125,28,0.08649037033319473,0.10577691346406937,795.6991364955902
13,FULL,30000,8000,409,0.051125,24,0.08681026101112366,0.10714062303304672,614.2464702129364
14,FULL,30000,8000,400,0.05,26,0.08680034428834915,0.10685804486274719,614.8876986503601
15,FULL,30000,8000,413,0.051625,58,0.08652710914611816,0.10728839039802551,544.5041019916534
16,FULL,30000,8000,412,0.0515,60,0.09286762773990631,0.11430949717760086,547.4214313030243
17,FULL,30000,8000,394,0.04925,40,0.08879836648702621,0.10867500305175781,608.7351233959198
18,FULL,30000,8000,419,0.052375,20,0.08958706259727478,0.11096417903900146,609.1855852603912
19,FULL,30000,8000,414,0.05175,68,0.08926545828580856,0.11053308844566345,569.7533257007599
20,FULL,30000,8000,408,0.051,28,0.08541508764028549,0.10579285770654678,571.1146712303162
21,FULL,30000,8000,370,0.04625,20,0.0879366546869278,0.10637816041707993,609.332594871521
22,FULL,30000,8000,412,0.0515,53,0.08924174308776855,0.11019115895032883,611.3135039806366
23,FULL,30000,8000,380,0.0475,13,0.09112665802240372,0.11034277826547623,696.7080638408661
24,FULL,30000,8000,438,0.05475,25,0.09086436033248901,0.1134868934750557,694.3863923549652
25,FULL,30000,8000,423,0.052875,19,0.08854766190052032,0.11006337404251099,676.5736956596375
26,FULL,30000,8000,389,0.048625,51,0.08865631371736526,0.1082974448800087,676.5052802562714
27,FULL,30000,8000,431,0.053875,44,0.08688903599977493,0.10876569151878357,714.2589647769928
28,FULL,30000,8000,402,0.05025,32,0.08816993236541748,0.10806873440742493,717.6299719810486
29,FULL,30000,8000,391,0.048875,33,0.09064565598964691,0.11079176515340805,714.3055641651154
30,FULL,30000,8000,408,0.051,28,0.08916058391332626,0.10970304906368256,714.2134342193604
1,LESION_FULL_MB,30000,8000,374,0.04675,49,0.08844933658838272,0.019359257072210312,608.9902610778809
2,LESION_FULL_MB,30000,8000,358,0.04475,61,0.08739148080348969,0.017995355650782585,606.5427010059357
3,LESION_FULL_MB,30000,8000,377,0.047125,44,0.08478143066167831,0.018287833780050278,577.4559812545776
4,LESION_FULL_MB,30000,8000,362,0.04525,43,0.08457425236701965,0.017822755500674248,582.9046187400818
5,LESION_FULL_MB,30000,8000,368,0.046,21,0.08545538038015366,0.01829271763563156,766.1854538917542
6,LESION_FULL_MB,30000,8000,427,0.053375,49,0.08650949597358704,0.02172093652188778,775.9429006576538
7,LESION_FULL_MB,30000,8000,422,0.05275,18,0.0888032615184784,0.021699171513319016,674.022278547287
8,LESION_FULL_MB,30000,8000,381,0.047625,50,0.08865348249673843,0.01958887092769146,667.3821089267731
9,LESION_FULL_MB,30000,8000,408,0.051,30,0.08820023387670517,0.020736612379550934,734.7292060852051
10,LESION_FULL_MB,30000,8000,399,0.049875,27,0.0895334929227829,0.02099650725722313,742.6986858844757
11,LESION_FULL_MB,30000,8000,393,0.049125,19,0.08944182842969894,0.020160792395472527,667.0895323753357
12,LESION_FULL_MB,30000,8000,451,0.056375,28,0.08649037033319473,0.022863047197461128,659.7343175411224
13,LESION_FULL_MB,30000,8000,405,0.050625,29,0.08681026101112366,0.020576106384396553,636.6104667186737
14,LESION_FULL_MB,30000,8000,400,0.05,25,0.08680034428834915,0.020361164584755898,643.1607296466827
15,LESION_FULL_MB,30000,8000,427,0.053375,49,0.08652710914611816,0.02160003036260605,678.8145940303802
16,LESION_FULL_MB,30000,8000,434,0.05425,47,0.09286762773990631,0.02344151958823204,678.2783539295197
17,LESION_FULL_MB,30000,8000,417,0.052125,18,0.08879836648702621,0.021581174805760384,624.7560789585114
18,LESION_FULL_MB,30000,8000,370,0.04625,36,0.08958706259727478,0.019044118002057076,622.5446002483368
19,LESION_FULL_MB,30000,8000,391,0.048875,29,0.08926545828580856,0.02036679908633232,626.2174205780029
20,LESION_FULL_MB,30000,8000,390,0.04875,4,0.08541508764028549,0.019565662369132042,632.4830751419067
21,LESION_FULL_MB,30000,8000,391,0.048875,10,0.0879366546869278,0.01978124864399433,675.9273748397827
22,LESION_FULL_MB,30000,8000,415,0.051875,26,0.08924174308776855,0.021409936249256134,674.7430715560913
23,LESION_FULL_MB,30000,8000,400,0.05,35,0.09112665802240372,0.02078862674534321,615.9992210865021
24,LESION_FULL_MB,30000,8000,421,0.052625,22,0.09086436033248901,0.022111929953098297,612.6061518192291
25,LESION_FULL_MB,30000,8000,435,0.054375,15,0.08854766190052032,0.02246517315506935,697.5909209251404
26,LESION_FULL_MB,30000,8000,420,0.0525,48,0.08865631371736526,0.02206210419535637,706.3887078762054
27,LESION_FULL_MB,30000,8000,431,0.053875,22,0.08688903599977493,0.022102288901805878,711.2638239860535
28,LESION_FULL_MB,30000,8000,382,0.04775,18,0.08816993236541748,0.01942649483680725,705.4978098869324
29,LESION_FULL_MB,30000,8000,380,0.0475,47,0.09064565598964691,0.020008793100714684,614.611691236496
30,LESION_FULL_MB,30000,8000,399,0.049875,38,0.08916058391332626,0.02046377584338188,611.3149409294128
