seed,condition,train_steps,test_steps,pre_good_eats,pre_toxic_eats,post_good_eats,post_toxic_eats,post_eat_rate,post_toxic_rate,post_net_rate,post_danger,mb_w_before,elapsed
1,FULL_FULL,15000,8000,665,72,427,39,0.053375,0.004875,0.043625,27,0.05715285241603851,338.69654965400696
2,FULL_FULL,15000,8000,719,84,355,49,0.044375,0.006125,0.032125,15,0.058360934257507324,337.7328701019287
3,FULL_FULL,15000,8000,610,75,371,29,0.046375,0.003625,0.039125,35,0.05553015321493149,460.4537637233734
4,FULL_FULL,15000,8000,638,78,343,50,0.042875,0.00625,0.030375000000000003,13,0.056137505918741226,461.5374701023102
1,FULL_LESION_MAP,15000,8000,665,72,406,39,0.05075,0.004875,0.041,4,0.05715285241603851,436.76887798309326
2,FULL_LESION_MAP,15000,8000,719,84,429,31,0.053625,0.003875,0.045875,53,0.058360934257507324,439.2583734989166
3,FULL_LESION_MAP,15000,8000,610,75,500,47,0.0625,0.005875,0.05075,55,0.05553015321493149,462.5769236087799
4,FULL_LESION_MAP,15000,8000,638,78,468,62,0.0585,0.00775,0.043000000000000003,44,0.056137505918741226,464.1491997241974
1,NAIVE_FULL,0,8000,0,0,364,44,0.0455,0.0055,0.0345,50,0.045226581394672394,161.87860131263733
2,NAIVE_FULL,0,8000,0,0,404,36,0.0505,0.0045,0.0415,59,0.045057639479637146,163.64627981185913
3,NAIVE_FULL,0,8000,0,0,309,43,0.038625,0.005375,0.027875,54,0.045201510190963745,157.38939309120178
4,NAIVE_FULL,0,8000,0,0,341,54,0.042625,0.00675,0.029125000000000005,55,0.045043908059597015,159.64581823349
1,NAIVE_LESION_MAP,0,8000,0,0,445,44,0.055625,0.0055,0.044625,156,0.045226581394672394,157.07550358772278
2,NAIVE_LESION_MAP,0,8000,0,0,457,35,0.057125,0.004375,0.048375,115,0.045057639479637146,155.5442771911621
3,NAIVE_LESION_MAP,0,8000,0,0,439,44,0.054875,0.0055,0.043875,202,0.045201510190963745,146.64447593688965
4,NAIVE_LESION_MAP,0,8000,0,0,449,49,0.056125,0.006125,0.043875,215,0.045043908059597015,145.9167959690094
