seed,condition,train_steps,test_steps,train_lesion,test_lesion,test_blind,pre_eats,post_eats,pre_eats_rate,post_eats_rate,pre_danger,post_danger,mb_w_before,elapsed
1,NAIVE_TEST_FULL,0,8000,0,0,0,0,364,0.0,0.0455,0,79,0.045226581394672394,196.1530442237854
2,NAIVE_TEST_FULL,0,8000,0,0,0,0,373,0.0,0.046625,0,63,0.045057639479637146,195.8753581047058
3,NAIVE_TEST_FULL,0,8000,0,0,0,0,353,0.0,0.044125,0,59,0.045201510190963745,193.52348351478577
4,NAIVE_TEST_FULL,0,8000,0,0,0,0,343,0.0,0.042875,0,50,0.045043908059597015,192.80470538139343
5,NAIVE_TEST_FULL,0,8000,0,0,0,0,357,0.0,0.044625,0,39,0.044966425746679306,192.79788184165955
6,NAIVE_TEST_FULL,0,8000,0,0,0,0,364,0.0,0.0455,0,72,0.045008335262537,190.80733799934387
7,NAIVE_TEST_FULL,0,8000,0,0,0,0,404,0.0,0.0505,0,70,0.04513629153370857,191.208158493042
8,NAIVE_TEST_FULL,0,8000,0,0,0,0,394,0.0,0.04925,0,55,0.04525165632367134,181.31583547592163
1,NAIVE_TEST_LESION,0,8000,0,1,1,0,66,0.0,0.00825,0,323,0.045226581394672394,185.14084100723267
2,NAIVE_TEST_LESION,0,8000,0,1,1,0,54,0.0,0.00675,0,260,0.045057639479637146,184.73745489120483
3,NAIVE_TEST_LESION,0,8000,0,1,1,0,41,0.0,0.005125,0,368,0.045201510190963745,183.77202033996582
4,NAIVE_TEST_LESION,0,8000,0,1,1,0,69,0.0,0.008625,0,335,0.045043908059597015,185.1855754852295
5,NAIVE_TEST_LESION,0,8000,0,1,1,0,56,0.0,0.007,0,435,0.044966425746679306,184.11556553840637
6,NAIVE_TEST_LESION,0,8000,0,1,1,0,59,0.0,0.007375,0,313,0.045008335262537,185.75618410110474
7,NAIVE_TEST_LESION,0,8000,0,1,1,0,38,0.0,0.00475,0,228,0.04513629153370857,184.0948679447174
8,NAIVE_TEST_LESION,0,8000,0,1,1,0,57,0.0,0.007125,0,269,0.04525165632367134,186.15126657485962
1,TRAIN_FULL_TEST_FULL,30000,8000,0,0,0,1456,379,0.04853333333333333,0.047375,151,47,0.08844933658838272,943.2417039871216
2,TRAIN_FULL_TEST_FULL,30000,8000,0,0,0,1455,398,0.0485,0.04975,144,52,0.08739148080348969,942.5765733718872
3,TRAIN_FULL_TEST_FULL,30000,8000,0,0,0,1393,380,0.04643333333333333,0.0475,136,30,0.08478143066167831,932.0754537582397
4,TRAIN_FULL_TEST_FULL,30000,8000,0,0,0,1389,380,0.0463,0.0475,118,66,0.08457425236701965,933.8281791210175
5,TRAIN_FULL_TEST_FULL,30000,8000,0,0,0,1409,417,0.046966666666666664,0.052125,162,27,0.08545538038015366,933.2152328491211
6,TRAIN_FULL_TEST_FULL,30000,8000,0,0,0,1423,409,0.047433333333333334,0.051125,137,33,0.08650949597358704,939.9455723762512
7,TRAIN_FULL_TEST_FULL,30000,8000,0,0,0,1481,396,0.04936666666666667,0.0495,155,18,0.0888032615184784,955.9801483154297
8,TRAIN_FULL_TEST_FULL,30000,8000,0,0,0,1461,399,0.0487,0.049875,171,15,0.08865348249673843,940.9422881603241
1,TRAIN_FULL_TEST_LESION,30000,8000,0,1,1,1456,64,0.04853333333333333,0.008,151,3,0.08844933658838272,933.4167399406433
2,TRAIN_FULL_TEST_LESION,30000,8000,0,1,1,1455,52,0.0485,0.0065,144,7,0.08739148080348969,935.7992730140686
3,TRAIN_FULL_TEST_LESION,30000,8000,0,1,1,1393,51,0.04643333333333333,0.006375,136,6,0.08478143066167831,926.1073863506317
4,TRAIN_FULL_TEST_LESION,30000,8000,0,1,1,1389,54,0.0463,0.00675,118,19,0.08457425236701965,932.5513508319855
5,TRAIN_FULL_TEST_LESION,30000,8000,0,1,1,1409,54,0.046966666666666664,0.00675,162,10,0.08545538038015366,927.1893224716187
6,TRAIN_FULL_TEST_LESION,30000,8000,0,1,1,1423,53,0.047433333333333334,0.006625,137,6,0.08650949597358704,935.4043629169464
7,TRAIN_FULL_TEST_LESION,30000,8000,0,1,1,1481,40,0.04936666666666667,0.005,155,3,0.0888032615184784,933.336820602417
8,TRAIN_FULL_TEST_LESION,30000,8000,0,1,1,1461,55,0.0487,0.006875,171,23,0.08865348249673843,946.0301311016083
1,TRAIN_LESION_TEST_LESION,30000,8000,1,1,1,217,62,0.007233333333333333,0.00775,1152,257,0.04709053412079811,899.4678201675415
2,TRAIN_LESION_TEST_LESION,30000,8000,1,1,1,219,48,0.0073,0.006,1109,469,0.04684660583734512,901.9064764976501
3,TRAIN_LESION_TEST_LESION,30000,8000,1,1,1,206,44,0.006866666666666667,0.0055,1180,336,0.046898312866687775,896.1775941848755
4,TRAIN_LESION_TEST_LESION,30000,8000,1,1,1,237,60,0.0079,0.0075,957,327,0.04718548059463501,902.8381803035736
5,TRAIN_LESION_TEST_LESION,30000,8000,1,1,1,213,56,0.0071,0.007,1097,166,0.04680422693490982,897.2178421020508
6,TRAIN_LESION_TEST_LESION,30000,8000,1,1,1,208,53,0.006933333333333333,0.006625,1161,211,0.046756576746702194,903.1597366333008
7,TRAIN_LESION_TEST_LESION,30000,8000,1,1,1,195,34,0.0065,0.00425,1204,475,0.04675477370619774,900.7143239974976
8,TRAIN_LESION_TEST_LESION,30000,8000,1,1,1,224,84,0.007466666666666667,0.0105,1064,295,0.04729810729622841,904.7375438213348
