condition,metric,n,mean,sd,baseline_mean,delta_pct,t,p,cohen_d,sig
no-adjacent-food,total_eats,30,206.2667,14.2875,233.2667,-11.57,-7.909,0.0,-2.042,***
no-adjacent-food,total_danger,30,42.1333,12.0136,39.2667,7.3,1.056,0.29576,0.273,
no-adjacent-food,deaths,30,0.0,0.0,0.0,0.0,nan,nan,0.0,
no-adjacent-food,final_mirror,30,0.5735,0.025,0.5766,-0.54,-0.509,0.61267,-0.131,
no-adjacent-food,final_awareness_idx,30,0.7944,0.202,0.7583,4.76,0.71,0.48084,0.183,
no-adjacent-food,final_continuity,30,0.9995,0.0004,0.9995,0.0,0.27,0.78783,0.07,
no-adjacent-food,final_collapse_index,30,0.8869,0.0181,0.8929,-0.66,-1.575,0.12223,-0.407,
no-adjacent-food,final_closure_depth,30,2.5667,0.7739,2.3667,8.45,1.108,0.27256,0.286,
no-behavioral-modes,total_eats,30,209.4333,15.7714,233.2667,-10.22,-6.574,0.0,-1.698,***
no-behavioral-modes,total_danger,30,39.7,5.6088,39.2667,1.1,0.228,0.82046,0.059,
no-behavioral-modes,deaths,30,0.0,0.0,0.0,0.0,nan,nan,0.0,
no-behavioral-modes,final_mirror,30,0.5734,0.0296,0.5766,-0.55,-0.468,0.64199,-0.121,
no-behavioral-modes,final_awareness_idx,30,0.6222,0.2096,0.7583,-17.96,-2.625,0.01108,-0.678,*
no-behavioral-modes,final_continuity,30,0.9991,0.0008,0.9995,-0.03,-1.827,0.07401,-0.472,
no-behavioral-modes,final_collapse_index,30,0.8894,0.0635,0.8929,-0.39,-0.297,0.76854,-0.077,
no-behavioral-modes,final_closure_depth,30,2.4667,0.7303,2.3667,4.23,0.574,0.56845,0.148,
no-central-complex,total_eats,30,239.8667,17.4054,233.2667,2.83,1.707,0.09382,0.441,
no-central-complex,total_danger,30,36.8667,7.6642,39.2667,-6.11,-1.129,0.2635,-0.292,
no-central-complex,deaths,30,0.0,0.0,0.0,0.0,nan,nan,0.0,
no-central-complex,final_mirror,30,0.5749,0.027,0.5766,-0.29,-0.263,0.79338,-0.068,
no-central-complex,final_awareness_idx,30,0.8052,0.1566,0.7583,6.18,1.037,0.30439,0.268,
no-central-complex,final_continuity,30,0.9995,0.0006,0.9995,0.0,0.159,0.87385,0.041,
no-central-complex,final_collapse_index,30,0.8941,0.0084,0.8929,0.14,0.522,0.60363,0.135,
no-central-complex,final_closure_depth,30,2.7333,0.5208,2.3667,15.49,2.492,0.01566,0.643,*
no-insect-brain,total_eats,30,242.3667,19.8642,233.2667,3.9,2.145,0.03709,0.554,*
no-insect-brain,total_danger,30,38.5333,9.4312,39.2667,-1.87,-0.312,0.75614,-0.081,
no-insect-brain,deaths,30,0.0,0.0,0.0,0.0,nan,nan,0.0,
no-insect-brain,final_mirror,30,0.5757,0.0286,0.5766,-0.16,-0.136,0.89244,-0.035,
no-insect-brain,final_awareness_idx,30,0.7948,0.1968,0.7583,4.82,0.728,0.46961,0.188,
no-insect-brain,final_continuity,30,0.9994,0.0005,0.9995,-0.01,-0.495,0.62256,-0.128,
no-insect-brain,final_collapse_index,30,0.8967,0.0105,0.8929,0.43,1.461,0.14935,0.377,
no-insect-brain,final_closure_depth,30,2.3667,0.6687,2.3667,0.0,0.0,1.0,0.0,
no-lateral-horn,total_eats,30,236.6333,17.9837,233.2667,1.44,0.852,0.39847,0.22,
no-lateral-horn,total_danger,30,41.6,7.2664,39.2667,5.94,1.123,0.2663,0.29,
no-lateral-horn,deaths,30,0.0,0.0,0.0,0.0,nan,nan,0.0,
no-lateral-horn,final_mirror,30,0.5759,0.0274,0.5766,-0.11,-0.101,0.92012,-0.026,
no-lateral-horn,final_awareness_idx,30,0.7515,0.237,0.7583,-0.89,-0.122,0.90361,-0.031,
no-lateral-horn,final_continuity,30,0.9994,0.0006,0.9995,-0.0,-0.234,0.81599,-0.06,
no-lateral-horn,final_collapse_index,30,0.8932,0.0108,0.8929,0.04,0.123,0.90267,0.032,
no-lateral-horn,final_closure_depth,30,2.5667,0.6261,2.3667,8.45,1.248,0.21694,0.322,
no-mushroom,total_eats,30,235.2667,17.1161,233.2667,0.86,0.523,0.60309,0.135,
no-mushroom,total_danger,30,40.4,8.4918,39.2667,2.89,0.509,0.61284,0.131,
no-mushroom,deaths,30,0.0,0.0,0.0,0.0,nan,nan,0.0,
no-mushroom,final_mirror,30,0.5737,0.0249,0.5766,-0.5,-0.471,0.63943,-0.122,
no-mushroom,final_awareness_idx,30,0.7407,0.2397,0.7583,-2.32,-0.314,0.75485,-0.081,
no-mushroom,final_continuity,30,0.9994,0.0005,0.9995,-0.0,-0.26,0.79544,-0.067,
no-mushroom,final_collapse_index,30,0.8962,0.0101,0.8929,0.37,1.304,0.19743,0.337,
no-mushroom,final_closure_depth,30,2.4333,0.7279,2.3667,2.82,0.383,0.70302,0.099,
no-sleep,total_eats,30,233.1,17.6896,233.2667,-0.07,-0.043,0.96616,-0.011,
no-sleep,total_danger,30,38.0333,9.7644,39.2667,-3.14,-0.515,0.60858,-0.133,
no-sleep,deaths,30,0.0333,0.1826,0.0,3333333333.33,1.0,0.32558,0.258,
no-sleep,final_mirror,30,0.5628,0.033,0.5766,-2.38,-1.894,0.0639,-0.489,
no-sleep,final_awareness_idx,30,0.8583,0.0975,0.7583,13.19,2.546,0.01457,0.657,*
no-sleep,final_continuity,30,0.9994,0.0004,0.9995,-0.0,-0.289,0.77363,-0.075,
no-sleep,final_collapse_index,30,0.9244,0.0134,0.8929,3.54,10.439,0.0,2.695,***
no-sleep,final_closure_depth,30,2.3667,0.6149,2.3667,0.0,0.0,1.0,0.0,
no-spatial-map,total_eats,30,310.5,18.6635,233.2667,33.11,19.036,0.0,4.915,***
no-spatial-map,total_danger,30,70.1333,17.0288,39.2667,78.61,8.828,0.0,2.279,***
no-spatial-map,deaths,30,0.0,0.0,0.0,0.0,nan,nan,0.0,
no-spatial-map,final_mirror,30,0.5776,0.0217,0.5766,0.18,0.184,0.85427,0.048,
no-spatial-map,final_awareness_idx,30,0.8232,0.1949,0.7583,8.56,1.3,0.19886,0.336,
no-spatial-map,final_continuity,30,0.9995,0.0005,0.9995,0.0,0.386,0.70062,0.1,
no-spatial-map,final_collapse_index,30,0.8999,0.0083,0.8929,0.79,3.013,0.00387,0.778,**
no-spatial-map,final_closure_depth,30,2.4333,0.8172,2.3667,2.82,0.357,0.72246,0.092,
no-vision,total_eats,30,232.8,15.8384,233.2667,-0.2,-0.128,0.89832,-0.033,
no-vision,total_danger,30,40.2667,9.6022,39.2667,2.55,0.421,0.67505,0.109,
no-vision,deaths,30,0.0,0.0,0.0,0.0,nan,nan,0.0,
no-vision,final_mirror,30,0.5718,0.024,0.5766,-0.83,-0.804,0.42457,-0.208,
no-vision,final_awareness_idx,30,0.8561,0.0816,0.7583,12.89,2.568,0.01415,0.663,*
no-vision,final_continuity,30,0.9995,0.0004,0.9995,-0.0,-0.046,0.96313,-0.012,
no-vision,final_collapse_index,30,0.8957,0.0108,0.8929,0.31,1.053,0.29678,0.272,
no-vision,final_closure_depth,30,2.5333,0.6288,2.3667,7.04,1.038,0.30362,0.268,
