seed,lesion,train_steps,test_steps,pre_eats,post_eats,pre_eats_rate,post_eats_rate,pre_danger,post_danger,mb_w_before,cx_w_before,mb_w_after,elapsed
1,FULL,30000,8000,1456,379,0.04853333333333333,0.047375,151,47,0.08844933658838272,0.3121544122695923,0.08844933658838272,977.8975014686584
2,FULL,30000,8000,1455,398,0.0485,0.04975,144,52,0.08739148080348969,0.31629136204719543,0.08739148080348969,981.9622156620026
3,FULL,30000,8000,1393,380,0.04643333333333333,0.0475,136,30,0.08478143066167831,0.3119851350784302,0.08478143066167831,967.8241784572601
4,FULL,30000,8000,1389,380,0.0463,0.0475,118,66,0.08457425236701965,0.31400710344314575,0.08457425236701965,972.8099689483643
5,FULL,30000,8000,1409,417,0.046966666666666664,0.052125,162,27,0.08545538038015366,0.3113555908203125,0.08545538038015366,973.2366185188293
6,FULL,30000,8000,1423,409,0.047433333333333334,0.051125,137,33,0.08650949597358704,0.31181785464286804,0.08650949597358704,981.2782938480377
7,FULL,30000,8000,1481,396,0.04936666666666667,0.0495,155,18,0.0888032615184784,0.31650829315185547,0.0888032615184784,978.3190500736237
8,FULL,30000,8000,1461,399,0.0487,0.049875,171,15,0.08865348249673843,0.3169640302658081,0.08865348249673843,978.1698303222656
1,LESION_ALL,30000,8000,1456,381,0.04853333333333333,0.047625,151,51,0.08844933658838272,0.3121544122695923,0.0,963.9203100204468
2,LESION_ALL,30000,8000,1455,335,0.0485,0.041875,144,56,0.08739148080348969,0.31629136204719543,0.0,965.2009513378143
3,LESION_ALL,30000,8000,1393,387,0.04643333333333333,0.048375,136,25,0.08478143066167831,0.3119851350784302,0.0,958.7761266231537
4,LESION_ALL,30000,8000,1389,391,0.0463,0.048875,118,23,0.08457425236701965,0.31400710344314575,0.0,960.7880735397339
5,LESION_ALL,30000,8000,1409,413,0.046966666666666664,0.051625,162,19,0.08545538038015366,0.3113555908203125,0.0,961.3766191005707
6,LESION_ALL,30000,8000,1423,365,0.047433333333333334,0.045625,137,27,0.08650949597358704,0.31181785464286804,0.0,957.4109551906586
7,LESION_ALL,30000,8000,1481,402,0.04936666666666667,0.05025,155,11,0.0888032615184784,0.31650829315185547,0.0,958.4751780033112
8,LESION_ALL,30000,8000,1461,379,0.0487,0.047375,171,16,0.08865348249673843,0.3169640302658081,0.0,955.8488390445709
1,LESION_CX,30000,8000,1456,380,0.04853333333333333,0.0475,151,31,0.08844933658838272,0.3121544122695923,0.08844933658838272,973.013100862503
2,LESION_CX,30000,8000,1455,365,0.0485,0.045625,144,18,0.08739148080348969,0.31629136204719543,0.08739148080348969,974.3335971832275
3,LESION_CX,30000,8000,1393,406,0.04643333333333333,0.05075,136,30,0.08478143066167831,0.3119851350784302,0.08478143066167831,970.3703818321228
4,LESION_CX,30000,8000,1389,416,0.0463,0.052,118,52,0.08457425236701965,0.31400710344314575,0.08457425236701965,971.5821371078491
5,LESION_CX,30000,8000,1409,382,0.046966666666666664,0.04775,162,36,0.08545538038015366,0.3113555908203125,0.08545538038015366,968.0099220275879
6,LESION_CX,30000,8000,1423,427,0.047433333333333334,0.053375,137,29,0.08650949597358704,0.31181785464286804,0.08650949597358704,976.868399143219
7,LESION_CX,30000,8000,1481,397,0.04936666666666667,0.049625,155,22,0.0888032615184784,0.31650829315185547,0.0888032615184784,980.9491827487946
8,LESION_CX,30000,8000,1461,446,0.0487,0.05575,171,13,0.08865348249673843,0.3169640302658081,0.08865348249673843,976.4026424884796
1,LESION_MB,30000,8000,1456,374,0.04853333333333333,0.04675,151,49,0.08844933658838272,0.3121544122695923,0.0,978.7813425064087
2,LESION_MB,30000,8000,1455,358,0.0485,0.04475,144,61,0.08739148080348969,0.31629136204719543,0.0,983.765527009964
3,LESION_MB,30000,8000,1393,377,0.04643333333333333,0.047125,136,44,0.08478143066167831,0.3119851350784302,0.0,976.72043800354
4,LESION_MB,30000,8000,1389,362,0.0463,0.04525,118,43,0.08457425236701965,0.31400710344314575,0.0,977.1576280593872
5,LESION_MB,30000,8000,1409,368,0.046966666666666664,0.046,162,21,0.08545538038015366,0.3113555908203125,0.0,973.6842272281647
6,LESION_MB,30000,8000,1423,427,0.047433333333333334,0.053375,137,49,0.08650949597358704,0.31181785464286804,0.0,985.8858609199524
7,LESION_MB,30000,8000,1481,422,0.04936666666666667,0.05275,155,18,0.0888032615184784,0.31650829315185547,0.0,986.0813705921173
8,LESION_MB,30000,8000,1461,381,0.0487,0.047625,171,50,0.08865348249673843,0.3169640302658081,0.0,983.1371212005615
